name ,country,year,banned substance,sport,season ,city,medal
Aleksandr Ivanov,Russia,2012,Turinabol,Weightlifting,summer,London,bronze
Hripsime Khurshudyan,Armenia,2012,Turinabol,Weightlifting,summer,London,silver
Iryna Kulesha,Belarus,2012,Turinabol,Weightlifting,summer,London,bronze
Rauli Tsirekidze,Georgia,2012,Turinabol,Weightlifting,summer,London,bronze
Marharyta Tverdokhlib,Ukraine,2012,Turinabol,Athletics Long Jump,summer,London,no medal
Almas Uteshov,Kazakhstan,2012,Turinabol,Weightlifting,summer,London,no medal
Natalya Zabolotnaya,Russia,2012,Turinabol,Weightlifting,summer,London,no medal
Anatolie Cîrîcu,Moldova,2012,Turinabol,Weightlifting,summer,London,silver
Ilya Ilyin,Kazakhstan,2012,Turinabol,Weightlifting,summer,London,bronze
Aksana Miankova,Belarus,2012,Turinabol,Athletics Hammer Throw,summer,London,gold
Nastassia Mironchyk-Ivanova,Belarus,2012,Turinabol,Athletics Long Jump,summer,London,no medal
Boyanka Kostova,Azerbaijan,2012,Turinabol,Weightlifting,summer,London,no medal
Sibel Simsek,Turkey,2012,Turinabol,Weightlifting,summer,London,no medal
Intigam Zairov,Azerbaijan,2012,Turinabol,Weightlifting,summer,London,no medal
Norayr Vardanyan,Armenia,2012,Turinabol,Weightlifting,summer,London,no medal
Vera Ganeeva,Russia,2012,Turinabol,Athletics Discus Throw,summer,London,no medal
Adem Kilicci,Turkey,2012,Turinabol,Boxing,summer,London,no medal
Antonina Krivoshapka,Russia,2012,Turinabol,Athletics ,summer,London,no medal
Mariya Bespalova,Russia,2012,Turinabol,Athletics ,summer,London,silver
Khadzhimurat Akkaev,Russia,2012,Turinabol,Weightlifting,summer,London,no medal
Gulfiya Khanafeyeva,Russia,2012,Turinabol,Athletics ,summer,London,no medal
Victoria Valyukevich,Russia,2012,Turinabol,Athletics ,summer,London,no medal
Svetlana Tsarukaeva,Russia,2012,Turinabol,Weightlifting,summer,London,no medal
Maksim Dyldin,Russia,2012,Turinabol,Athletics ,summer,London,silver
Tatyana Chernova,Russia,2012,Turinabol,Athletics ,summer,London,no medal
Anna Nazarova,Russia,2012,Turinabol,Athletics ,summer,London,bronze
Yulia Gushchina,Russia,2012,Turinabol,Athletics ,summer,London,no medal
Davit Modzmanashvili,Georgia,2012,Turinabol,Wrestling ,summer,London,silver
Valentin Hristov,Azerbaijan,2012,Turinabol,Weightlifting ,summer,London,silver
Izzat Artykov,Kyrgyzstan,2016,Strychnine,Weightlifting ,summer,Rio de Janeiro,bronze
Chen Xinyi,China,2016,Hydrochlorothiazide,Swimming,summer,Rio de Janeiro,no medal
Anastassya Kudinova,Kazakhstan,2016,Drostanolone,Athletics ,summer,Rio de Janeiro,no medal
Kléber Ramos,Brazil,2016,CERA,Cycling ,summer,Rio de Janeiro,no medal
Serghei Tarnovschi,Moldova,2016,GHRP-2,Canoeing ,summer,Rio de Janeiro,bronze
Chagnaadorj Usukhbayar,Mongolia,2016,testosterone,Weightlifting,summer,Rio de Janeiro,no medal
Misha Aloian,Russia,2016,Tuaminoheptane,BoxingMen's flyweight,summer,Rio de Janeiro,silver
Gabriel Sîncrăian,Romania,2016,Tuaminoheptane,Weightlifting,summer,Rio de Janeiro,bronze
Nijat Rahimov,Kazakhstan,2016,Tuaminoheptane,Weightlifting,summer,Rio de Janeiro,gold
Tandara Caixeta,Brazil,2020,Enobosarm,Women's volleyball,summer,Tokyo,silver
Blessing Okagbare,Nigeria,2020,Human growth hormone and EPO,Athletics ,summer,Tokyo,no medal
Chijindu Ujah,Great Britain,2020,S-23 and Enobosarm,Athletics  ,summer,Tokyo,silver
El-Hassan El-Abbassi,Bahrain,2020,homologous blood transfusion,Athletics  ,summer,Tokyo,no medal
Igor Andreyevich Polyanski,ROC,2020,EPO,Triathlon  Men's Triathlon,summer,Tokyo,no medal
Mohamed Talaat,Egypt,2020,Cannabis,Equestrian,summer,Tokyo,no medal
Jakub Krzewina,Poland,2020,Cannabis,Athletics,summer,Tokyo,no medal
María José Ribera,Bolivia,2024,Furosemide,Swimming,summer,Paris,no medal
Eleni-Klaoudia Polak,Greece,2024,Not publicly disclosed,Athletics,summer,Paris,no medal
Dominique Lasconi Mulamba,Democratic Republic of the Congo,2024,Stanozolol,Athletics,summer,Paris,no medal
Mohammad Samim Faizad,Afghanistan,2024,Stanozolol,Judo ,summer,Paris,no medal
Tine Magnus,Belgium,2024,Trazodone,Eventing,summer,Paris,no medal
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
